Post #,Date,Platform,Content Type,Caption,Image URL,Notes
1,2026-06-19,Instagram,Image,"We built an entire marketing agency. Then ran it on ourselves before charging anyone a penny.

Website. Brand kit. CRM pipeline. Social content engine. Payment system. AI video agent. Comment reply bot.

All of it. Live. Before client #1.

Because if we wouldn't trust our own machine — why would you?

FORGE is live. forgeisagentic.tech

#AImarketing #LondonBusiness #MarketingAgency #AgenticAI #forgeisagentic",https://forgeisagentic.tech/api/og,POST NOW — origin story
1,2026-06-19,Facebook,Image,"We built an entire marketing agency. Then ran it on ourselves before charging anyone a penny.

Website. Brand kit. CRM pipeline. Social content engine. Payment system. AI video agent. Comment reply bot.

All of it. Live. Before client #1.

Because if we wouldn't trust our own machine — why would you?

FORGE is live. forgeisagentic.tech

#AImarketing #LondonBusiness #MarketingAgency #AgenticAI #forgeisagentic",https://forgeisagentic.tech/api/og,POST NOW — origin story
1,2026-06-19,LinkedIn,Image,"We built an entire marketing agency. Then ran it on ourselves before charging anyone a penny.

Website. Brand kit. CRM pipeline. Social content engine. Payment system. AI video agent. Comment reply bot.

All of it. Live. Before client #1.

Because if we wouldn't trust our own machine — why would you?

FORGE is live → forgeisagentic.tech

#AIMarketing #AgenticAI #MarketingAgency #LondonBusiness #Startups",https://forgeisagentic.tech/api/og,POST NOW — origin story
2,2026-06-24,Facebook,Text,"If a Londoner can't find you on Google, they called your competitor. Not exaggerating.

Here's what having no website actually costs a London tradesperson:

→ The average job lost to a competitor with a site: £300–£800
→ How many people Google a tradesperson before calling: 7 in 10
→ How many of those call someone with no online presence: almost none

We're not talking about a £5,000 agency website. We're talking about a clean, fast, professional site that tells people who you are, what you do, and how to book you.

FORGE builds that for £74.99. Deployed in under 10 minutes.

Is your business on Google right now? Drop a comment — we'll check for you.

#LondonTrades #Plumber #Electrician #Builder #SmallBusiness #LondonBusiness",,Text only — no image needed
3,2026-06-25,LinkedIn,Image,"Before we signed a single client, we deployed our entire stack on ourselves.

Here's what FORGE built in approximately 4 hours of agentic sessions:

✅ Live website (forgeisagentic.tech)
✅ PayPal payment system (one-time + subscription)
✅ Post-payment AI video agent (Tavus CVI)
✅ HubSpot CRM pipeline
✅ Canva brand kit (3 assets)
✅ Calendly booking system
✅ Supabase multi-tenant database
✅ AES-256-GCM encrypted OAuth token vault
✅ Autonomous comment reply engine (Claude Haiku)
✅ 5-platform social distribution layer

Equivalent cost from a traditional agency: £15,000–£25,000.

We didn't build FORGE because we thought we could. We built it to prove we could.

The agency is live. The machine runs.

→ forgeisagentic.tech

#AIAgency #AgenticAI #MarketingTech #LondonStartup #Anthropic #BuildInPublic",https://forgeisagentic.tech/api/og?type=deploy&time=00%3A09%3A47,Stack checklist graphic — use Canva or OG endpoint
4,2026-06-26,TikTok,Reel,"10 minutes. £74.99. Live website. 🤖

Most London tradespeople are losing jobs every week because they can't be found online.

FORGE fixes that.

→ forgeisagentic.tech

#AImarketing #WebsiteBuilder #LondonTrades #Tech #AgenticAI #SmallBusiness",,REEL — screen record deploy flow. See content pack for script.
5,2026-06-27,Instagram,Image,"This is what £624.99 looks like when an AI builds it in 4 hours.

Website ✅
Brand kit ✅
CRM pipeline ✅
Booking system ✅
Social content engine ✅
Comment reply bot ✅
Payment system ✅
AI video welcome agent ✅

We didn't outsource any of it. We didn't hire an agency. We ran our own machine on ourselves.

That's Package 5. That's what we sell to London tradespeople.

Link in bio → forgeisagentic.tech

#AIAgency #LondonMarketing #TechStartup #AgenticAI #BuildInPublic #forgeisagentic",https://forgeisagentic.tech/api/og?type=offer,Checklist graphic — OG offer type
6,2026-06-30,Facebook,Image,"A traditional agency quoted £18,000 for what we built in 4 hours.

Same deliverables:
→ Professional website
→ Brand identity
→ CRM setup
→ Social content calendar
→ Booking system

Their timeline: 6–8 weeks.
Our timeline: 4 hours.

We know because we built all of it for ourselves first — before we charged a single client.

FORGE exists because the old way of doing marketing is too slow and too expensive for a London tradesperson running a business on their own.

Package 1 starts at £74.99. See what's included → forgeisagentic.tech

#LondonMarketing #AIAgency #Tradesperson #Plumber #Electrician #ValueForMoney",https://forgeisagentic.tech/api/og?type=education,Side-by-side comparison — use Canva
7,2026-07-01,Instagram,Carousel,"7 AI agents. 1 command. Your entire digital presence — live.

SCOUT researches your business.
ATLAS builds your website.
PIXEL designs your brand.
WIRE builds your lead pipeline.
BOOK sets up your booking system.
SPARK writes your social content.
FORGE QAs everything before it goes live.

Swipe to see how each one works. →

Package 5 — £624.99 — forgeisagentic.tech

#AIAgents #AgenticAI #MarketingAutomation #LondonBusiness #WebDesign #forgeisagentic",,CAROUSEL — 6 slides. Create in Canva. See content pack for slide copy.
8,2026-07-02,LinkedIn,Text,"The full FORGE tech stack. Built in public.

Vercel (serverless hosting) → Single-page HTML, no framework, zero cold start issues
Anthropic Claude Sonnet 4.6 → The AI brain behind every agent
Anthropic Batch API → Async multi-client processing at scale
Supabase → Multi-tenant PostgreSQL database + AES-256-GCM token vault
PayPal → One-time orders + recurring subscription billing
Resend → Transactional email
Tavus CVI → Post-payment AI video welcome agent
HubSpot → CRM, pipeline management
Canva MCP → Automated brand asset creation
Calendly → Booking integration
RapidAPI (Google Maps) → Local footprint + GBP data extraction

Total external monthly cost at scale: under £200.
Revenue per client at Package 5: £624.99.

The margin is the point.

This is what an agentic marketing agency looks like when you build it properly.

#BuildInPublic #AgenticAI #TechStack #Anthropic #Supabase #Vercel #LondonStartup",,Text only — LinkedIn rewards long technical posts
9,2026-07-03,TikTok,Reel,"3 reasons you're losing jobs and don't know it 👇

1. Not on Google
2. No clickable phone number
3. No visible reviews

FORGE fixes all three. From £74.99.

→ forgeisagentic.tech

#LondonTrades #Plumber #Electrician #Builder #SmallBusiness #AIMarketing",,REEL — talking head or text-on-screen. See content pack for script.
10,2026-07-04,Facebook,Image,"£74.99. A professional website for your trade business. Live today.

Not next week. Not after 6 calls with a web designer. Today.

Here's what you get with Package 1:

→ A clean, professional website built for your trade
→ Your services, location, phone number, and contact form
→ Deployed live on a fast hosting platform
→ Passes our full quality audit before it goes live
→ Yours to keep

That's it. No monthly fee. No ongoing contract. One payment.

→ forgeisagentic.tech

#LondonTrades #WebsiteDesign #TradesmanUK #Plumber #Electrician #Roofer #Builder",https://forgeisagentic.tech/api/og?type=offer,Package 1 pricing card — create in Canva
11,2026-07-07,Instagram,Carousel,"Your competitor is getting jobs you should be getting. Here's exactly why.

5 things their website has that yours doesn't. Swipe →

Every one of these is fixable. Most take us under 10 minutes to deploy.

→ forgeisagentic.tech

#LondonTrades #WebsiteDesign #Tradesman #Plumber #Electrician #Marketing #SmallBusiness",,CAROUSEL — 6 slides. See content pack for slide copy.
12,2026-07-08,LinkedIn,Text,"The maths of why a London tradesperson with no website is leaving £40,000/year on the table.

Average job value for a London plumber: £350
Average number of people who Google before calling: 7 in 10
Average conversion rate of a good website vs no website: roughly 3:1

Now run the numbers.

If you get 20 enquiries a month through word of mouth, you're probably getting 8–10 more through Google if you have a site. Call it 8.

8 × £350 = £2,800/month
£2,800 × 12 = £33,600/year

Missed.

Not because the jobs don't exist. Because the people calling them couldn't find you.

A FORGE Package 1 website costs £74.99. The ROI question almost answers itself.

→ forgeisagentic.tech

#Tradesman #LondonBusiness #ROI #MarketingForTrades #SmallBusiness #BusinessGrowth",,Text only — strong ROI education post
13,2026-07-09,Instagram,Image,"A Facebook page is not a website. Stop treating it like one.

Facebook can change its algorithm tomorrow. Your page reach drops overnight.
Facebook can suspend your page. No warning. No appeal.
Facebook doesn't show up the same way on Google searches.

A website is yours. No platform owns it. No algorithm controls it.

When someone Googles 'plumber in Hackney' at 11pm — they find your website, or they find someone else's.

→ Get a website that's actually yours: forgeisagentic.tech

#LondonPlumber #LondonElectrician #TradiesUK #WebsiteDesign #GoogleSearch #SmallBusiness",https://forgeisagentic.tech/api/og?type=education,Bold quote graphic — create in Canva
14,2026-07-10,TikTok,Reel,"Gave an AI a plumber's name. Watched it build a website. 10 minutes. 🤯

This is FORGE.

→ forgeisagentic.tech

#AIMarketing #WebsiteBuilder #LondonTrades #Tech #AgenticAI #BuildInPublic",,REEL — real deploy screen record. Highest priority reel.
15,2026-07-11,Facebook,Image,"3 things that change the week after a London tradesperson gets a proper website.

1. They start showing up on Google Maps for local searches.
2. They stop losing leads at midnight — quote forms capture people who Google at 11pm.
3. They look like the professional they already are.

We've seen this happen for every business that goes from nothing to online.

The week after the site goes live is always the same: 'I didn't realise how much I was missing.'

→ forgeisagentic.tech — from £74.99

#LondonTrades #WebDesign #SmallBusiness #Plumber #Electrician #Tradie #OnlineBusiness",https://forgeisagentic.tech/api/og?type=education,Three-panel graphic — create in Canva
16,2026-07-14,Instagram,Image,"We're ICO registered. Reference ZC176397. Here's why that matters to you.

When you use FORGE, your business data is handled by an agency that's legally registered to process it. Most small marketing agencies aren't.

We registered before we onboarded a single client. Not because we had to. Because it's the right way to operate.

ICO registration. GDPR compliance. Data processing agreements before any client site goes live.

→ forgeisagentic.tech

#DataPrivacy #ICO #GDPR #LondonBusiness #TrustInBusiness #MarketingAgency",https://forgeisagentic.tech/api/og?type=custom&title=ICO+Registered.+ZC176397.&sub=Compliant+before+client+%231.,Trust/credibility badge graphic
17,2026-07-15,LinkedIn,Text,"Numbers from FORGE's own self-deployment. Everything we built. What it cost.

Files created: 40+
API integrations live: 12
Agentic sessions: 3–4 hours total
Equivalent traditional agency cost: £15,000–£25,000
Actual build cost (Anthropic API + tools): under £50

The stack:
Vercel · Supabase · PayPal · Anthropic · Resend · Tavus · HubSpot · Canva · Calendly · RapidAPI

What it powers:
One website that's live. One payment system that processes real money. One AI that welcomes every client with a personalised video call. One social content engine writing posts while I sleep.

We ran our own Package 5 on ourselves. The machine works.

Now we're taking it to London tradespeople.

→ forgeisagentic.tech

#BuildInPublic #AgenticAI #StartupLife #AIAgency #LondonStartup #Anthropic",,Text only — case study numbers post
18,2026-07-16,Facebook,Image,"Every FORGE package. Every price. No hidden costs. No monthly fees.

Package 1 — Launch — £74.99
Professional website. Live today.

Package 2 — Brand — £149.99
Website + full Canva brand kit.

Package 3 — Convert — £299.99
Everything above + quote form + HubSpot CRM.

Package 4 — Book — £499.99
Everything above + Calendly booking system.

Package 5 — Grow — £624.99
Everything above + a month of social content + autonomous comment reply engine.

One payment per package. No ongoing fees. No contracts.

→ forgeisagentic.tech

#LondonMarketing #WebsiteDesign #AIAgency #Tradesman #Plumber #Electrician #Builder",https://forgeisagentic.tech/api/og?type=offer,Package pricing table — create in Canva
19,2026-07-17,TikTok,Reel,"No website? Here's exactly what to do. 👇

forgeisagentic.tech — Package 1 — £74.99

10 minutes. Live today.

#LondonTrades #Plumber #Electrician #Builder #AIMarketing #Website",,REEL — Aaron direct to camera. See content pack for script.
20,2026-07-18,Instagram,Image,"Month 1 done. Here's what we built. Here's what's next.

The machine: live.
The website: live.
The payment system: live.
The social engine: clearly running.

FORGE went from concept to full agency stack in one agentic build session. Before a single client.

Next month: first client deployments. Real before/afters. Real London tradespeople getting real results.

If you want to be one of them — the link's in bio.

Package 1 starts at £74.99. We'll have your site live before you finish your next cup of tea.

→ forgeisagentic.tech

#ForgeAgentic #AIAgency #LondonMarketing #BuildInPublic #Month1 #AgenticAI #forgeisagentic",https://forgeisagentic.tech/api/og?type=custom&title=Month+1.+Complete.&sub=First+client+deployments+start+now.,Month 1 wrap-up graphic
